2018-04-23 23:55:19 - Begin Training............
2018-04-23 23:55:39 -    0 - over - loss: 4.4461, acc: 6.92 | val_loss: 4.3720, val_acc: 2.30, MPCE:0.9696 | best_acc: 2.30, best_mpce:0.9696
2018-04-23 23:55:51 -    1 - over - loss: 3.9943, acc: 12.05 | val_loss: 4.2443, val_acc: 4.86, MPCE:0.9475 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:56:03 -    2 - over - loss: 3.6599, acc: 27.44 | val_loss: 4.2832, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:56:15 -    3 - over - loss: 3.3720, acc: 30.00 | val_loss: 4.5171, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:56:28 -    4 - over - loss: 3.1311, acc: 33.08 | val_loss: 5.0937, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:56:40 -    5 - over - loss: 2.8999, acc: 42.05 | val_loss: 5.9174, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:56:52 -    6 - over - loss: 2.7243, acc: 46.15 | val_loss: 6.9311, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:57:04 -    7 - over - loss: 2.6011, acc: 52.31 | val_loss: 7.3695, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:57:16 -    8 - over - loss: 2.4633, acc: 48.97 | val_loss: 8.0353, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:57:28 -    9 - over - loss: 2.2931, acc: 57.44 | val_loss: 8.5273, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:57:40 -   10 - over - loss: 2.2143, acc: 57.69 | val_loss: 8.7328, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:57:52 -   11 - over - loss: 2.1234, acc: 61.03 | val_loss: 8.3116, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:58:04 -   12 - over - loss: 2.0684, acc: 59.74 | val_loss: 8.2067, val_acc: 3.07, MPCE:0.9696 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:58:16 -   13 - over - loss: 1.9943, acc: 65.64 | val_loss: 7.3864, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:58:28 -   14 - over - loss: 1.9279, acc: 65.90 | val_loss: 6.3232, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:58:40 -   15 - over - loss: 1.8708, acc: 66.92 | val_loss: 7.0251, val_acc: 3.07, MPCE:0.9696 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:58:52 -   16 - over - loss: 1.7625, acc: 67.44 | val_loss: 6.4774, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
2018-04-23 23:59:04 -   17 - over - loss: 1.7633, acc: 69.49 | val_loss: 6.4232, val_acc: 2.81, MPCE:0.9730 | best_acc: 4.86, best_mpce:0.9475
