2018-04-24 08:57:24 - Begin Training............
2018-04-24 08:57:45 -    0 - over - loss: 1.5492, acc: 60.87 | val_loss: 1.5438, val_acc: 49.71, MPCE:0.5000 | best_acc: 49.71, best_mpce:0.5000
2018-04-24 08:57:58 -    1 - over - loss: 1.4013, acc: 73.91 | val_loss: 1.5145, val_acc: 57.14, MPCE:0.4261 | best_acc: 57.14, best_mpce:0.4261
2018-04-24 08:58:10 -    2 - over - loss: 1.3151, acc: 78.26 | val_loss: 1.4855, val_acc: 64.46, MPCE:0.3574 | best_acc: 64.46, best_mpce:0.3574
2018-04-24 08:58:23 -    3 - over - loss: 1.2681, acc: 86.96 | val_loss: 1.4692, val_acc: 56.45, MPCE:0.4381 | best_acc: 64.46, best_mpce:0.3574
2018-04-24 08:58:36 -    4 - over - loss: 1.2480, acc: 82.61 | val_loss: 1.4484, val_acc: 55.17, MPCE:0.4509 | best_acc: 64.46, best_mpce:0.3574
2018-04-24 08:58:48 -    5 - over - loss: 1.1909, acc: 82.61 | val_loss: 1.4391, val_acc: 51.34, MPCE:0.4895 | best_acc: 64.46, best_mpce:0.3574
2018-04-24 08:59:01 -    6 - over - loss: 1.0915, acc: 91.30 | val_loss: 1.4307, val_acc: 50.29, MPCE:0.5000 | best_acc: 64.46, best_mpce:0.3574
2018-04-24 08:59:13 -    7 - over - loss: 1.1038, acc: 95.65 | val_loss: 1.3795, val_acc: 50.41, MPCE:0.4988 | best_acc: 64.46, best_mpce:0.3574
2018-04-24 08:59:26 -    8 - over - loss: 1.0608, acc: 86.96 | val_loss: 1.3096, val_acc: 62.72, MPCE:0.3750 | best_acc: 64.46, best_mpce:0.3574
2018-04-24 08:59:38 -    9 - over - loss: 1.0283, acc: 95.65 | val_loss: 1.2507, val_acc: 80.14, MPCE:0.1998 | best_acc: 80.14, best_mpce:0.1998
2018-04-24 08:59:51 -   10 - over - loss: 0.9857, acc: 100.00 | val_loss: 1.2158, val_acc: 88.04, MPCE:0.1199 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:00:04 -   11 - over - loss: 0.9386, acc: 95.65 | val_loss: 1.2114, val_acc: 73.98, MPCE:0.2587 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:00:16 -   12 - over - loss: 0.9374, acc: 86.96 | val_loss: 1.2010, val_acc: 62.60, MPCE:0.3718 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:00:29 -   13 - over - loss: 0.8922, acc: 91.30 | val_loss: 1.1755, val_acc: 65.62, MPCE:0.3418 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:00:41 -   14 - over - loss: 1.0006, acc: 91.30 | val_loss: 1.1566, val_acc: 68.52, MPCE:0.3129 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:00:54 -   15 - over - loss: 0.7861, acc: 100.00 | val_loss: 1.1453, val_acc: 68.18, MPCE:0.3164 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:01:07 -   16 - over - loss: 0.8226, acc: 100.00 | val_loss: 1.1278, val_acc: 71.31, MPCE:0.2852 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:01:19 -   17 - over - loss: 0.7614, acc: 100.00 | val_loss: 1.1036, val_acc: 76.77, MPCE:0.2309 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:01:32 -   18 - over - loss: 0.7751, acc: 95.65 | val_loss: 1.0833, val_acc: 79.79, MPCE:0.2009 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:01:44 -   19 - over - loss: 0.7414, acc: 100.00 | val_loss: 1.0767, val_acc: 77.24, MPCE:0.2263 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:01:57 -   20 - over - loss: 0.7379, acc: 100.00 | val_loss: 1.0654, val_acc: 77.35, MPCE:0.2252 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:02:09 -   21 - over - loss: 0.7092, acc: 100.00 | val_loss: 1.0427, val_acc: 85.02, MPCE:0.1490 | best_acc: 88.04, best_mpce:0.1199
2018-04-24 09:02:22 -   22 - over - loss: 0.7390, acc: 95.65 | val_loss: 1.0115, val_acc: 96.98, MPCE:0.0300 | best_acc: 96.98, best_mpce:0.0300
2018-04-24 09:02:35 -   23 - over - loss: 0.6827, acc: 100.00 | val_loss: 0.9928, val_acc: 98.61, MPCE:0.0139 | best_acc: 98.61, best_mpce:0.0139
2018-04-24 09:02:47 -   24 - over - loss: 0.6726, acc: 100.00 | val_loss: 0.9897, val_acc: 96.63, MPCE:0.0335 | best_acc: 98.61, best_mpce:0.0139
2018-04-24 09:03:00 -   25 - over - loss: 0.6617, acc: 100.00 | val_loss: 0.9851, val_acc: 93.96, MPCE:0.0600 | best_acc: 98.61, best_mpce:0.0139
2018-04-24 09:03:12 -   26 - over - loss: 0.6203, acc: 100.00 | val_loss: 0.9697, val_acc: 95.35, MPCE:0.0462 | best_acc: 98.61, best_mpce:0.0139
2018-04-24 09:03:25 -   27 - over - loss: 0.6315, acc: 95.65 | val_loss: 0.9480, val_acc: 99.42, MPCE:0.0058 | best_acc: 99.42, best_mpce:0.0058
2018-04-24 09:03:37 -   28 - over - loss: 0.5868, acc: 100.00 | val_loss: 0.9437, val_acc: 98.14, MPCE:0.0187 | best_acc: 99.42, best_mpce:0.0058
2018-04-24 09:03:50 -   29 - over - loss: 0.5898, acc: 100.00 | val_loss: 0.9456, val_acc: 95.47, MPCE:0.0456 | best_acc: 99.42, best_mpce:0.0058
2018-04-24 09:04:02 -   30 - over - loss: 0.6122, acc: 100.00 | val_loss: 0.9394, val_acc: 97.56, MPCE:0.0245 | best_acc: 99.42, best_mpce:0.0058
2018-04-24 09:04:15 -   31 - over - loss: 0.5910, acc: 100.00 | val_loss: 0.9313, val_acc: 99.65, MPCE:0.0035 | best_acc: 99.65, best_mpce:0.0035
2018-04-24 09:04:28 -   32 - over - loss: 0.5561, acc: 100.00 | val_loss: 0.9291, val_acc: 99.77, MPCE:0.0023 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:04:40 -   33 - over - loss: 0.5543, acc: 100.00 | val_loss: 0.9313, val_acc: 98.03, MPCE:0.0196 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:04:53 -   34 - over - loss: 0.5478, acc: 100.00 | val_loss: 0.9325, val_acc: 95.59, MPCE:0.0439 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:05:05 -   35 - over - loss: 0.5702, acc: 100.00 | val_loss: 0.9252, val_acc: 93.26, MPCE:0.0670 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:05:18 -   36 - over - loss: 0.5348, acc: 100.00 | val_loss: 0.9100, val_acc: 93.26, MPCE:0.0670 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:05:30 -   37 - over - loss: 0.5354, acc: 100.00 | val_loss: 0.8804, val_acc: 99.19, MPCE:0.0081 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:05:43 -   38 - over - loss: 0.5642, acc: 100.00 | val_loss: 0.8490, val_acc: 99.54, MPCE:0.0047 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:05:55 -   39 - over - loss: 0.5178, acc: 100.00 | val_loss: 0.8479, val_acc: 97.21, MPCE:0.0280 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:06:08 -   40 - over - loss: 0.5104, acc: 100.00 | val_loss: 0.8500, val_acc: 92.57, MPCE:0.0748 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:06:20 -   41 - over - loss: 0.5076, acc: 100.00 | val_loss: 0.8448, val_acc: 90.48, MPCE:0.0958 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:06:33 -   42 - over - loss: 0.5369, acc: 100.00 | val_loss: 0.8391, val_acc: 90.48, MPCE:0.0958 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:06:45 -   43 - over - loss: 0.5160, acc: 100.00 | val_loss: 0.8279, val_acc: 93.03, MPCE:0.0701 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:06:58 -   44 - over - loss: 0.5187, acc: 100.00 | val_loss: 0.8092, val_acc: 98.72, MPCE:0.0129 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:07:10 -   45 - over - loss: 0.5066, acc: 100.00 | val_loss: 0.8275, val_acc: 93.96, MPCE:0.0600 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:07:23 -   46 - over - loss: 0.5120, acc: 100.00 | val_loss: 0.8450, val_acc: 87.80, MPCE:0.1212 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:07:35 -   47 - over - loss: 0.5122, acc: 100.00 | val_loss: 0.8053, val_acc: 98.95, MPCE:0.0104 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:07:48 -   48 - over - loss: 0.4823, acc: 100.00 | val_loss: 0.7822, val_acc: 99.77, MPCE:0.0023 | best_acc: 99.77, best_mpce:0.0023
2018-04-24 09:08:00 -   49 - over - loss: 0.4727, acc: 100.00 | val_loss: 0.7826, val_acc: 98.49, MPCE:0.0152 | best_acc: 99.77, best_mpce:0.0023
